protein,protein_type
TNIP1,regulator
TNFRSF10B,regulator
RORA,regulator
TLR2,pathway
HSPB1,regulator
VEGFA,regulator
BCL3,pathway
PRKCE,regulator
STAT1,regulator
HMOX1,regulator
ESR1,regulator
TMSB4X,regulator
F2R,regulator
AKAP13,regulator
MYD88,regulator
CTNNB1,regulator
NEK6,regulator
CX3CL1,regulator
IKBKE,regulator
CFLAR,regulator
LITAF,regulator
PLCG2,regulator
DAB2IP,regulator
TGFBR3,regulator
ROR1,regulator
AKT1,pathway
BRD4,regulator
TNF,regulator
CD40,regulator
BIRC3,pathway
STAT3,TF
IKBKG,pathway
TRADD,pathway
RELA,pathway
NFKBIA,pathway
EP300,pathway
IRAK1,pathway
MAP3K14,pathway
NFKB2,pathway
TBK1,pathway
REL,pathway
TRAF6,pathway
NFKB1,pathway
IKBKB,pathway
CHUK,pathway
CARD11,pathway
MAP3K7,pathway
TLR9,pathway
RIPK2,pathway
