source,target,effect,interaction_type,directed
STAT3,TNIP1,1,transcriptional,True
STAT3,TNFRSF10B,-1,transcriptional,True
STAT3,RORA,1,transcriptional,True
STAT3,TLR2,1,transcriptional,True
STAT3,HSPB1,1,transcriptional,True
STAT3,VEGFA,1,transcriptional,True
STAT3,BCL3,1,transcriptional,True
STAT3,PRKCE,1,transcriptional,True
STAT3,STAT1,1,transcriptional,True
STAT3,HMOX1,1,transcriptional,True
STAT3,ESR1,1,transcriptional,True
STAT3,TMSB4X,1,transcriptional,True
STAT3,F2R,1,transcriptional,True
STAT3,AKAP13,1,transcriptional,True
STAT3,MYD88,1,transcriptional,True
STAT3,CTNNB1,1,transcriptional,True
STAT3,NEK6,1,transcriptional,True
STAT3,CX3CL1,1,transcriptional,True
STAT3,IKBKE,1,transcriptional,True
STAT3,CFLAR,1,transcriptional,True
STAT3,LITAF,1,transcriptional,True
STAT3,PLCG2,1,transcriptional,True
STAT3,DAB2IP,1,transcriptional,True
STAT3,TGFBR3,1,transcriptional,True
STAT3,ROR1,1,transcriptional,True
STAT3,AKT1,1,transcriptional,True
STAT3,BRD4,1,transcriptional,True
STAT3,TNF,-1,transcriptional,True
STAT3,CD40,1,transcriptional,True
STAT3,BIRC3,1,transcriptional,True
TNIP1,IKBKG,1,signalling,True
TNFRSF10B,TRADD,1,signalling,True
IKBKE,RELA,0,signalling,True
IKBKE,NFKBIA,0,signalling,True
CTNNB1,EP300,1,signalling,True
MYD88,IRAK1,1,signalling,True
HSPB1,AKT1,1,signalling,True
HSPB1,NFKBIA,1,signalling,True
TNF,MAP3K14,1,signalling,True
IKBKE,NFKB2,0,signalling,True
IKBKE,TBK1,1,signalling,True
ESR1,AKT1,1,signalling,True
IKBKE,REL,1,signalling,True
BRD4,EP300,1,signalling,True
MYD88,TRAF6,1,signalling,True
STAT1,NFKB1,1,signalling,True
STAT1,RELA,1,signalling,True
IKBKE,NFKB1,1,signalling,True
IKBKE,RELA,1,signalling,True
TNF,TRADD,1,signalling,True
PRKCE,IKBKB,1,signalling,True
IKBKE,AKT1,0,signalling,True
IKBKE,IKBKB,0,signalling,True
IKBKE,IKBKG,0,signalling,True
CFLAR,NFKB1,1,signalling,True
CFLAR,TRADD,1,signalling,True
TNF,TBK1,0,signalling,True
TNF,CHUK,1,signalling,True
TNIP1,NFKB1,1,signalling,True
TNF,IKBKG,1,signalling,True
TNF,NFKB1,1,signalling,True
BRD4,NFKB1,1,signalling,True
F2R,NFKB1,1,signalling,True
TNFRSF10B,IKBKB,1,signalling,True
MYD88,CHUK,1,signalling,True
CD40,EP300,1,signalling,True
HSPB1,TRAF6,1,signalling,True
TNF,RELA,1,signalling,True
MYD88,IKBKG,1,signalling,True
PRKCE,IKBKG,1,signalling,True
MYD88,IKBKB,1,signalling,True
TNF,IKBKB,1,signalling,True
PRKCE,CARD11,1,signalling,True
CD40,AKT1,1,signalling,True
MYD88,MAP3K14,1,signalling,True
TNF,MAP3K7,0,signalling,True
TNF,TLR9,1,signalling,True
MYD88,RIPK2,1,signalling,True
TNF,AKT1,1,signalling,True
TNF,NFKBIA,1,signalling,True
MYD88,MAP3K7,1,signalling,True
TNFRSF10B,CHUK,1,signalling,True
TNFRSF10B,IKBKG,1,signalling,True
HSPB1,NFKB1,1,signalling,True
PRKCE,CHUK,1,signalling,True
CD40,NFKB1,1,signalling,True
AKAP13,NFKB1,1,signalling,True
IKBKE,NFKB1,1,signalling,True
PLCG2,AKT1,0,signalling,True
ESR1,TBK1,0,signalling,True
